Idx,elevation,azimuth,X,Y,x_light,y_light
146,47.4855,90,-3.222e-08,0.737107,-0.0463782,-0.142721
147,47.4855,90,-3.222e-08,0.737107,-0.0465283,-0.14365
148,47.4855,90,-3.222e-08,0.737107,-0.0467388,-0.14309
149,47.4855,90,-3.222e-08,0.737107,-0.0466175,-0.143206
150,47.4855,90,-3.222e-08,0.737107,-0.0469357,-0.143399
151,48.3404,90,-3.26571e-08,0.747107,-0.0463706,-0.145275
152,48.3404,90,-3.26571e-08,0.747107,-0.0468146,-0.146418
153,48.3404,90,-3.26571e-08,0.747107,-0.0470404,-0.145335
154,48.3404,90,-3.26571e-08,0.747107,-0.0460784,-0.146324
155,48.3404,90,-3.26571e-08,0.747107,-0.0471425,-0.146284
156,49.2098,90,-3.30942e-08,0.757107,-0.0466544,-0.148845
157,49.2098,90,-3.30942e-08,0.757107,-0.0464571,-0.148503
158,49.2098,90,-3.30942e-08,0.757107,-0.0465928,-0.148558
159,49.2098,90,-3.30942e-08,0.757107,-0.0468707,-0.148794
160,49.2098,90,-3.30942e-08,0.757107,-0.0472413,-0.148708
161,50.0948,90,-3.35313e-08,0.767107,-0.0473496,-0.150663
162,50.0948,90,-3.35313e-08,0.767107,-0.0472599,-0.151003
163,50.0948,90,-3.35313e-08,0.767107,-0.0471095,-0.151367
164,50.0948,90,-3.35313e-08,0.767107,-0.046971,-0.150598
165,50.0948,90,-3.35313e-08,0.767107,-0.0469296,-0.151036
166,50.9964,90,-3.39684e-08,0.777107,-0.046947,-0.153808
167,50.9964,90,-3.39684e-08,0.777107,-0.0463038,-0.154389
168,50.9964,90,-3.39684e-08,0.777107,-0.0471054,-0.154656
169,50.9964,90,-3.39684e-08,0.777107,-0.0468134,-0.153912
170,50.9964,90,-3.39684e-08,0.777107,-0.0465365,-0.153896
171,51.9159,90,-3.44055e-08,0.787107,-0.0468879,-0.155751
172,51.9159,90,-3.44055e-08,0.787107,-0.0463858,-0.156582
173,51.9159,90,-3.44055e-08,0.787107,-0.0468713,-0.156264
174,51.9159,90,-3.44055e-08,0.787107,-0.0463964,-0.156608
175,51.9159,90,-3.44055e-08,0.787107,-0.0469229,-0.155974
176,52.8547,90,-3.48426e-08,0.797107,-0.0465523,-0.15807
177,52.8547,90,-3.48426e-08,0.797107,-0.0469377,-0.158835
178,52.8547,90,-3.48426e-08,0.797107,-0.0464678,-0.158558
179,52.8547,90,-3.48426e-08,0.797107,-0.0467494,-0.158675
180,52.8547,90,-3.48426e-08,0.797107,-0.0469564,-0.158604
181,53.8142,90,-3.52798e-08,0.807107,-0.046398,-0.161339
182,53.8142,90,-3.52798e-08,0.807107,-0.0471416,-0.161146
183,53.8142,90,-3.52798e-08,0.807107,-0.0468815,-0.161205
184,53.8142,90,-3.52798e-08,0.807107,-0.0472355,-0.160318
185,53.8142,90,-3.52798e-08,0.807107,-0.0465009,-0.160375
186,54.7962,90,-3.57169e-08,0.817107,-0.0462313,-0.163479
187,54.7962,90,-3.57169e-08,0.817107,-0.04733,-0.164094
188,54.7962,90,-3.57169e-08,0.817107,-0.0468952,-0.163946
189,54.7962,90,-3.57169e-08,0.817107,-0.0459091,-0.163549
190,54.7962,90,-3.57169e-08,0.817107,-0.0473415,-0.163488
191,55.8027,90,-3.6154e-08,0.827107,-0.046764,-0.164848
192,55.8027,90,-3.6154e-08,0.827107,-0.0475652,-0.165034
193,55.8027,90,-3.6154e-08,0.827107,-0.0468876,-0.165669
194,55.8027,90,-3.6154e-08,0.827107,-0.0474065,-0.165313
195,55.8027,90,-3.6154e-08,0.827107,-0.0463376,-0.165449
196,56.8358,90,-3.65911e-08,0.837107,-0.0459418,-0.168086
197,56.8358,90,-3.65911e-08,0.837107,-0.0456678,-0.167735
198,56.8358,90,-3.65911e-08,0.837107,-0.0463954,-0.168011
199,56.8358,90,-3.65911e-08,0.837107,-0.0470252,-0.167307
200,56.8358,90,-3.65911e-08,0.837107,-0.0464788,-0.166697
201,57.8983,90,-3.70282e-08,0.847107,-0.0467836,-0.169336
202,57.8983,90,-3.70282e-08,0.847107,-0.0459661,-0.169051
203,57.8983,90,-3.70282e-08,0.847107,-0.0469658,-0.169413
204,57.8983,90,-3.70282e-08,0.847107,-0.0457969,-0.169172
205,57.8983,90,-3.70282e-08,0.847107,-0.0477642,-0.169715
206,58.9933,90,-3.74653e-08,0.857107,-0.0481153,-0.171058
207,58.9933,90,-3.74653e-08,0.857107,-0.0472296,-0.17157
208,58.9933,90,-3.74653e-08,0.857107,-0.047186,-0.170687
209,58.9933,90,-3.74653e-08,0.857107,-0.0474152,-0.170563
210,58.9933,90,-3.74653e-08,0.857107,-0.0465369,-0.171162
211,60.1241,90,-3.79024e-08,0.867107,-0.0470415,-0.173056
212,60.1241,90,-3.79024e-08,0.867107,-0.047058,-0.172957
213,60.1241,90,-3.79024e-08,0.867107,-0.0484159,-0.172404
214,60.1241,90,-3.79024e-08,0.867107,-0.0460495,-0.172206
215,60.1241,90,-3.79024e-08,0.867107,-0.0472138,-0.171937
216,61.2953,90,-3.83395e-08,0.877107,-0.0471454,-0.17317
