id,X,Y,x_light,y_light,Extrapolated
94,0.7646200172384929,-0.5885288889777504,-0.256,0.1792,True
95,0.70015,-0.60478,-0.2304,0.1792,False
96,0.63707,-0.63155,-0.2048,0.1792,False
97,0.55975,-0.6491,-0.1792,0.1792,False
98,0.4812,-0.66772,-0.1536,0.1792,False
99,0.39788,-0.6799,-0.128,0.1792,False
100,0.30911,-0.69395,-0.1024,0.1792,False
101,0.2123,-0.70187,-0.0768,0.1792,False
102,0.11919,-0.70533,-0.0512,0.1792,False
103,0.02511,-0.70842,-0.0256,0.1792,False
104,-0.06696,-0.71217,0.0,0.1792,False
105,-0.15659,-0.7061,0.0256,0.1792,False
106,-0.24911,-0.69692,0.0512,0.1792,False
107,-0.34131,-0.6905,0.0768,0.1792,False
108,-0.43786,-0.67524,0.1024,0.1792,False
109,-0.52256,-0.66114,0.128,0.1792,False
110,-0.60587,-0.64071,0.1536,0.1792,False
111,-0.6728,-0.61916,0.1792,0.1792,False
112,-0.7511930465698242,-0.5966558456420898,0.2048,0.1792,True
113,-0.8171291351318359,-0.5757017135620117,0.2304,0.1792,True
114,-0.8746261596679688,-0.5538244247436523,0.256,0.1792,True
115,0.8947906494140625,-0.47380828857421875,-0.3072,0.1536,True
116,0.8437543483135894,-0.49722524249863514,-0.2816,0.1536,True
117,0.77881,-0.52132,-0.256,0.1536,False
118,0.71848,-0.54238,-0.2304,0.1536,False
119,0.65296,-0.56014,-0.2048,0.1536,False
120,0.58009,-0.57875,-0.1792,0.1536,False
121,0.50114,-0.5909,-0.1536,0.1536,False
122,0.41424,-0.60733,-0.128,0.1536,False
123,0.32027,-0.61799,-0.1024,0.1536,False
124,0.22513,-0.62434,-0.0768,0.1536,False
125,0.12687,-0.62981,-0.0512,0.1536,False
126,0.02745,-0.63382,-0.0256,0.1536,False
127,-0.06308,-0.632,0.0,0.1536,False
128,-0.15769,-0.6301,0.0256,0.1536,False
129,-0.25286,-0.6201,0.0512,0.1536,False
130,-0.35302,-0.61082,0.0768,0.1536,False
131,-0.44823,-0.59569,0.1024,0.1536,False
132,-0.53533,-0.58281,0.128,0.1536,False
133,-0.61827,-0.56766,0.1536,0.1536,False
134,-0.69428,-0.54566,0.1792,0.1536,False
135,-0.76369,-0.52426,0.2048,0.1536,False
136,-0.8297736682086241,-0.5076023596247471,0.2304,0.1536,True
137,-0.8884833208363636,-0.4887051663280586,0.256,0.1536,True
138,0.9103155083606105,-0.402252402434371,-0.3072,0.128,True
139,0.8610221600384484,-0.4229475982913749,-0.2816,0.128,True
140,0.80439,-0.4433,-0.256,0.128,False
141,0.74346,-0.4619,-0.2304,0.128,False
142,0.67368,-0.48057,-0.2048,0.128,False
143,0.5944,-0.49671,-0.1792,0.128,False
144,0.51169,-0.51073,-0.1536,0.128,False
145,0.42682,-0.52312,-0.128,0.128,False
146,0.32856,-0.53245,-0.1024,0.128,False
147,0.2322,-0.53999,-0.0768,0.128,False
148,0.1332,-0.54637,-0.0512,0.128,False
149,0.03397,-0.54744,-0.0256,0.128,False
150,-0.06392,-0.54673,0.0,0.128,False
151,-0.1621,-0.54456,0.0256,0.128,False
152,-0.26084,-0.53533,0.0512,0.128,False
153,-0.36124,-0.52771,0.0768,0.128,False
154,-0.45756,-0.51494,0.1024,0.128,False
155,-0.54756,-0.50189,0.128,0.128,False
156,-0.62997,-0.48519,0.1536,0.128,False
157,-0.70834,-0.46894,0.1792,0.128,False
158,-0.77639,-0.45225,0.2048,0.128,False
159,-0.83005,-0.42755,0.2304,0.128,False
160,-0.8990325927734375,-0.4163398742675781,0.256,0.128,True
