Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
343,0.838671,-4.16025e-16,0.8428,-0.0053,-2.84217e-14,57,359.64,57.4388,-0.208606,-0.0130964
344,0.419335,0.72631,0.4238,0.7313,60,57,59.907,57.6961,-0.101365,-0.207083
345,-0.419335,0.72631,-0.4213,0.7256,120,57,120.14,57.0389,0.130377,-0.20796
346,-0.838671,-7.33189e-08,-0.8378,0.0029,180,57,179.802,56.9091,0.234442,-0.017347
347,-0.419335,-0.72631,-0.4224,-0.7247,240,57,239.764,57.0153,0.129841,0.173934
348,0.419335,-0.72631,0.4232,-0.7251,300,57,300.27,57.0941,-0.103878,0.178197
349,0.848048,-4.20676e-16,0.8559,0.0037,-2.84217e-14,58,0.247684,58.8602,-0.211991,-0.0133438
350,0.424024,0.734431,0.4282,0.7348,60,58,59.7688,58.262,-0.103702,-0.208915
351,-0.424024,0.734431,-0.4225,0.7373,120,58,119.814,58.1872,0.131517,-0.210957
352,-0.848048,-7.41387e-08,-0.8424,-0.0011,180,58,180.075,57.3945,0.236793,-0.0168398
353,-0.424024,-0.734431,-0.4291,-0.7356,240,58,239.744,58.3869,0.131141,0.176415
354,0.424024,-0.734431,0.4293,-0.743,300,58,300.019,59.1047,-0.10508,0.181945
355,0.857167,-4.252e-16,0.8614,-0.0002,-2.84217e-14,59,359.987,59.4741,-0.214702,-0.0123565
356,0.428584,0.742329,0.4263,0.75,60,59,60.3861,59.6198,-0.104546,-0.213008
357,-0.428584,0.742329,-0.4251,0.7357,120,59,120.02,58.1774,0.133755,-0.211854
358,-0.857167,-7.49359e-08,-0.8499,-0.0051,180,59,180.344,58.2025,0.239697,-0.0159266
359,-0.428584,-0.742329,-0.4292,-0.7406,240,59,239.906,58.8681,0.132914,0.179681
360,0.428584,-0.742329,0.4357,-0.7448,300,59,300.327,59.6415,-0.10659,0.183699
361,0.866025,-4.29594e-16,0.8717,0.0027,-2.84217e-14,60,0.177467,60.6573,-0.219484,-0.0130064
362,0.433013,0.75,0.4319,0.7568,60,60,60.2869,60.6181,-0.106222,-0.213681
363,-0.433013,0.75,-0.4281,0.751,120,60,119.685,59.8197,0.135833,-0.215656
364,-0.866025,-7.57103e-08,-0.8564,-0.0024,180,60,180.161,58.9151,0.241918,-0.0166443
365,-0.433013,-0.75,-0.4346,-0.7549,240,60,240.071,60.5824,0.135346,0.183063
366,0.433013,-0.75,0.4296,-0.7552,300,60,299.634,60.3241,-0.108335,0.185736
367,0.87462,-4.33857e-16,0.8718,0.0043,-2.84217e-14,61,0.282599,60.6697,-0.220082,-0.0127036
368,0.43731,0.757443,0.436,0.7579,60,61,60.0893,60.9695,-0.107737,-0.215913
369,-0.43731,0.757443,-0.435,0.7521,120,61,120.044,60.3239,0.135913,-0.217149
370,-0.87462,-7.64617e-08,-0.8614,-0.0009,180,61,180.06,59.4742,0.243868,-0.0164949
371,-0.43731,-0.757443,-0.441,-0.7503,240,61,239.554,60.4941,0.136058,0.184839
372,0.43731,-0.757443,0.4495,-0.7493,300,61,300.959,60.9015,-0.110219,0.186442
373,0.882948,-4.37988e-16,0.8734,-0.0011,-2.84217e-14,62,359.928,60.8563,-0.223546,-0.0115627
374,0.441474,0.764655,0.4413,0.762,60,62,59.9234,61.7103,-0.108644,-0.217988
375,-0.441474,0.764655,-0.4456,0.7587,120,62,120.427,61.6276,0.137726,-0.218992
376,-0.882948,-7.71897e-08,-0.8675,-0.0055,180,62,180.363,60.1714,0.246458,-0.0163488
377,-0.441474,-0.764655,-0.4339,-0.7681,240,62,240.538,61.9068,0.136895,0.187609
378,0.441474,-0.764655,0.442,-0.7551,300,62,300.343,61.0392,-0.111739,0.188048
379,0.891007,-4.41986e-16,0.8912,0.0031,-2.84217e-14,63,0.1993,63.0251,-0.227159,-0.0127262
380,0.445503,0.771634,0.4435,0.7678,60,63,59.9882,62.4595,-0.110433,-0.220902
381,-0.445503,0.771634,-0.4416,0.768,120,63,119.899,62.3636,0.138961,-0.221718
382,-0.891007,-7.78943e-08,-0.8758,-0.0028,180,63,180.183,61.1403,0.249026,-0.0150438
383,-0.445503,-0.771634,-0.4508,-0.7741,240,63,239.785,63.6109,0.138717,0.191178
384,0.445503,-0.771634,0.4498,-0.7575,300,63,300.702,61.7608,-0.113698,0.190733
385,0.898794,-4.45849e-16,0.8892,0.0041,-2.84217e-14,64,0.264182,62.7741,-0.229735,-0.011842
386,0.449397,0.778378,0.4464,0.7887,60,64,60.4904,64.9945,-0.112798,-0.222107
387,-0.449397,0.778378,-0.4375,0.7781,120,64,119.348,63.2097,0.139018,-0.223565
388,-0.898794,-7.85751e-08,-0.8759,-0.0005,180,64,180.033,61.1517,0.249684,-0.0150716
389,-0.449397,-0.778379,-0.4455,-0.7772,240,64,240.178,63.6151,0.140503,0.192472
390,0.449397,-0.778378,0.4481,-0.7721,300,64,300.129,63.2158,-0.114724,0.192915
391,0.906308,-4.49576e-16,0,0,-2.84217e-14,65,0,0,-0.231758,-0.0114747
392,0.453154,0.784886,0.4466,0.7892,60,65,60.4949,65.067,-0.113689,-0.224898
393,-0.453154,0.784886,-0.4484,0.7633,120,65,120.432,62.2838,0.140778,-0.223939
394,-0.906308,-7.92319e-08,-0.8745,-0.0061,180,65,180.4,60.9884,0.250718,-0.0144421
395,-0.453154,-0.784886,-0.4486,-0.7894,240,65,240.391,65.2252,0.141023,0.194723
396,0.453154,-0.784886,0.4574,-0.7746,300,65,300.562,64.1012,-0.118701,0.196529
397,0.913545,-4.53166e-16,0,0,-2.84217e-14,66,0,0,-0.235299,-0.00978655
398,0.456773,0.791154,0.4468,0.7898,60,66,60.5026,65.1515,-0.115769,-0.225825
399,-0.456773,0.791154,-0.4561,0.784,120,66,120.189,65.0966,0.142601,-0.226104
400,-0.913545,-7.98647e-08,0,0,180,66,0,0,0.253478,-0.0158601
401,-0.456773,-0.791154,-0.4586,-0.7868,240,66,239.763,65.6018,0.144062,0.196626
402,0.456773,-0.791154,0.4524,-0.7822,300,66,300.044,64.6361,-0.11784,0.197122
403,0.920505,-4.56619e-16,0,0,-2.84217e-14,67,0,0,-0.237069,-0.0110017
404,0.460252,0.797181,0.4552,0.7988,60,67,60.3231,66.8379,-0.117847,-0.227873
405,-0.460252,0.797181,-0.4527,0.7982,120,67,119.56,66.5833,0.14388,-0.230139
406,-0.920505,-8.04731e-08,-0.8814,-0.0012,180,67,180.078,61.8118,0.253747,-0.0144742
407,-0.460252,-0.797181,-0.4487,-0.7891,240,67,240.376,65.1963,0.14443,0.198378
408,0.460252,-0.797181,0.4642,-0.7881,300,67,300.499,66.156,-0.121868,0.199807
409,0.927184,-4.59932e-16,0,0,-2.84217e-14,68,0,0,-0.238451,-0.0081354
410,0.463592,0.802965,0.4624,0.8039,60,68,60.0927,68.0329,-0.117601,-0.228376
411,-0.463592,0.802965,-0.4684,0.7869,120,68,120.763,66.3134,0.145055,-0.228939
412,-0.927184,-8.1057e-08,0,0,180,68,0,0,0.254375,-0.0133835
413,-0.463592,-0.802965,-0.4634,-0.7909,240,68,239.633,66.4423,0.145041,0.199442
414,0.463592,-0.802965,0.4669,-0.784,300,68,300.775,65.8528,-0.122292,0.200056
415,0.93358,-4.63105e-16,0,0,-2.84217e-14,69,0,0,-0.241876,-0.00944052
416,0.46679,0.808504,0.4563,0.801,60,69,60.3314,67.1983,-0.11899,-0.231224
417,-0.46679,0.808504,-0.4635,0.7986,120,69,120.13,67.4224,0.144855,-0.230696
418,-0.93358,-8.16162e-08,0,0,180,69,0,0,0.255589,-0.0144941
419,-0.46679,-0.808504,-0.4594,-0.7984,240,69,240.084,67.0927,0.146955,0.201672
420,0.46679,-0.808504,0.4705,-0.7791,300,69,301.128,65.5256,-0.122702,0.201235
