id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
212,0.55619,-0.23551,337.0505,37.1567,-0.128,0.0512,178
211,0.64062,-0.22607,340.5624,42.792,-0.1536,0.0512,179
210,0.71968,-0.21879,343.0902,48.7815,-0.1792,0.0512,180
209,0.80192,-0.20759,345.4866,55.93,-0.2048,0.0512,181
208,0.88053,-0.19288,347.6445,64.3437,-0.2304,0.0512,182
205,-0.88384,-0.2628,196.5593,67.2325,0.2816,0.0768,183
204,-0.82613,-0.27976,198.7081,60.7169,0.256,0.0768,184
203,-0.76115,-0.29378,201.105,54.6742,0.2304,0.0768,185
151,-0.22248,-0.53933,247.5833,35.6912,0.0768,0.128,186
106,-0.30083,-0.69135,246.4845,48.935,0.1024,0.1792,187
105,-0.20456,-0.70257,253.7666,47.0328,0.0768,0.1792,188
104,-0.11918,-0.71015,260.4732,46.0612,0.0512,0.1792,189
103,-0.03289,-0.71348,267.3606,45.5808,0.0256,0.1792,190
102,0.05769,-0.71358,274.6221,45.7177,0.0,0.1792,191
101,0.15155,-0.70738,282.0923,46.3386,-0.0256,0.1792,192
100,0.24254,-0.70026,289.1039,47.8229,-0.0512,0.1792,193
99,0.33283,-0.69063,295.7305,50.0536,-0.0768,0.1792,194
77,0.23281,-0.7785,286.6493,54.3474,-0.0512,0.2048,195
76,0.32158,-0.76698,292.7474,56.2705,-0.0768,0.2048,196
399,0.26367,0.55457,64.5713,37.8837,-0.0512,-0.1536,197
398,0.35514,0.54778,57.0436,40.7553,-0.0768,-0.1536,198
375,0.3638,0.45624,51.4316,35.6991,-0.0768,-0.128,199
374,0.45671,0.44735,44.4068,39.7397,-0.1024,-0.128,200
373,0.54513,0.43729,38.7357,44.3347,-0.128,-0.128,201
372,0.62671,0.42702,34.2693,49.3199,-0.1536,-0.128,202
371,0.71057,0.41882,30.5157,55.5697,-0.1792,-0.128,203
370,0.78686,0.40479,27.223,62.2361,-0.2048,-0.128,204
366,-0.86786,0.32702,159.353,68.0374,0.2816,-0.1024,205
365,-0.8169,0.33174,157.8981,61.8469,0.256,-0.1024,206
297,-0.9007,0.06028,176.1711,64.5173,0.2816,-0.0256,207
256,0.73211,-0.03815,357.017,47.1472,-0.1792,0.0,208
255,0.80904,-0.03495,357.5264,54.0759,-0.2048,0.0,209
254,0.88898,-0.02707,358.2558,62.797,-0.2304,0.0,210
251,-0.89643,-0.09582,186.1012,64.3608,0.2816,0.0256,211
250,-0.83606,-0.10867,187.4057,57.4682,0.256,0.0256,212
249,-0.76713,-0.11724,188.6892,50.8992,0.2304,0.0256,213
248,-0.69924,-0.12092,189.8112,45.2039,0.2048,0.0256,214
247,-0.61561,-0.12965,191.8929,38.9848,0.1792,0.0256,215
242,-0.13641,-0.15168,228.0341,11.7708,0.0512,0.0256,216
447,0.07141,0.72964,84.4103,47.1491,0.0,-0.2048,217
400,0.16685,0.55999,73.4085,35.7548,-0.0256,-0.1536,218
397,0.44892,0.53734,50.123,44.4421,-0.1024,-0.1536,219
376,0.26896,0.46205,59.7963,32.3189,-0.0512,-0.128,220
377,0.17048,0.46985,70.0572,29.9883,-0.0256,-0.128,221
